id,account_id,date,amount,merchant,description,mcc,source,balance
t10,a_checking,2024-01-01,-39.35,Chevron,CHEVRON OIL 8742,5541,synthetic,4176.65
t1,a_checking,2024-01-02,2367.66,Acme Inc.,PAYROLL,0,synthetic,6544.31
t26,a_checking,2024-01-02,-38.91,Local Diner,LOCAL DINER 4636,5812,synthetic,6505.4
t3,a_checking,2024-01-03,-1525.5,Landlord,MONTHLY RENT,6513,synthetic,4979.9
t11,a_checking,2024-01-04,-26.26,Panera Bread,,5812,synthetic,4953.64
t21,a_checking,2024-01-04,-12.81,Panera Bread,PANERA BREAD 5474,5812,synthetic,4940.83
t14,a_credit,2024-01-05,-268.79,Amazon,AMZN Mktp US*D7686,5942,synthetic,1267.21
t7,a_credit,2024-01-05,-12.99,Spotify,SPOTIFY P123,5815,synthetic,1254.22
t23,a_credit,2024-01-06,-118.83,Amazon,AMZN Mktp US*C2667,5942,synthetic,1135.39
t8,a_credit,2024-01-06,-7.99,Netflix,NETFLIX.COM SUB,5815,synthetic,1127.4
t16,a_checking,2024-01-10,-25.0,Chipotle,CHIPOTLE 7236,5812,synthetic,4915.83
t4,a_checking,2024-01-10,-72.94,Electric Co,ELECTRIC BILL,4900,synthetic,4842.89
t17,a_checking,2024-01-11,-38.46,Lyft,LYFT TRIP 5947,4121,synthetic,4804.43
t5,a_checking,2024-01-12,-70.09,Comcast,HOME INTERNET,4816,synthetic,4734.34
t13,a_checking,2024-01-13,-56.28,Lyft,LYFT TRIP 6985,4121,synthetic,4678.06
t6,a_checking,2024-01-14,-42.04,T-Mobile,MOBILE BILL,4814,synthetic,4636.02
t18,a_checking,2024-01-15,-139.58,GrocerMart,GROCERY STORE,5411,synthetic,4496.44
t2,a_checking,2024-01-16,2404.85,Acme Inc.,PAYROLL,0,synthetic,6901.29
t24,a_checking,2024-01-18,-6.79,Starbucks,STARBUCKS 2967,5814,synthetic,6894.5
t12,a_checking,2024-01-19,-84.52,Whole Foods,WHOLEFDS #1045,5411,synthetic,6809.98
t15,a_checking,2024-01-21,-4.98,Starbucks,STARBUCKS 3998,5814,synthetic,6805
t25,a_credit,2024-01-21,-207.45,Amazon,AMZN Mktp US*C7453,5942,synthetic,919.95
t9,a_checking,2024-01-21,-684.01,Credit Card Payment,AUTOPAY,6012,synthetic,6120.99
t20,a_checking,2024-01-24,-72.61,Whole Foods,WHOLEFDS #1045,5411,synthetic,6048.38
t22,a_checking,2024-01-24,-23.5,Chipotle,CHIPOTLE 9980,5812,synthetic,6024.88
t19,a_checking,2024-01-25,-5.87,Starbucks,STARBUCKS 9549,5814,synthetic,6019.01
t27,a_checking,2024-02-01,2410.5,Acme Inc.,PAYROLL,0,synthetic,8429.51
t41,a_credit,2024-02-03,-645.78,Best Buy,BESTBUY #4621,5732,synthetic,274.17
t29,a_checking,2024-02-04,-1509.83,Landlord,MONTHLY RENT,6513,synthetic,6919.68
t43,a_checking,2024-02-04,-4.36,Starbucks,STARBUCKS 6814,5814,synthetic,6915.32
t33,a_credit,2024-02-05,-12.99,Spotify,SPOTIFY P123,5815,synthetic,261.18
t34,a_credit,2024-02-06,-7.99,Netflix,NETFLIX.COM SUB,5815,synthetic,253.19
t39,a_credit,2024-02-07,-410.38,Best Buy,BESTBUY #2561,5732,synthetic,-157.19
t44,a_credit,2024-02-08,-115.34,Amazon,,5942,synthetic,-272.53
t40,a_checking,2024-02-09,-19.68,Panera Bread,PANERA BREAD 3710,5812,synthetic,6895.64
t30,a_checking,2024-02-10,-89.31,Electric Co,ELECTRIC BILL,4900,synthetic,6806.33
t42,a_checking,2024-02-11,-25.28,Panera Bread,PANERA BREAD 9863,5812,synthetic,6781.05
t31,a_checking,2024-02-12,-62.56,Comcast,HOME INTERNET,4816,synthetic,6718.49
t32,a_checking,2024-02-14,-39.37,T-Mobile,MOBILE BILL,4814,synthetic,6679.12
t28,a_checking,2024-02-17,2449.69,Acme Inc.,PAYROLL,0,synthetic,9128.81
t36,a_checking,2024-02-19,-158.54,GrocerMart,,5411,synthetic,8970.27
t45,a_credit,2024-02-20,-44.07,Amazon,AMZN Mktp US*C7750,5942,synthetic,-316.6
t35,a_checking,2024-02-21,-836.65,Credit Card Payment,AUTOPAY,6012,synthetic,8133.62
t37,a_checking,2024-02-23,-83.49,GrocerMart,GROCERY STORE,5411,synthetic,8050.13
t38,a_credit,2024-02-23,-43.74,Amazon,AMZN Mktp US*F4948,5942,synthetic,-360.34
t46,a_checking,2024-03-01,2358.67,Acme Inc.,PAYROLL,0,synthetic,10408.8
t68,a_checking,2024-03-01,-139.98,GrocerMart,GROCERY STORE,5411,synthetic,10268.8
t48,a_checking,2024-03-03,-1482.82,Landlord,MONTHLY RENT,6513,synthetic,8786
t52,a_credit,2024-03-05,-12.99,Spotify,SPOTIFY P123,5815,synthetic,-373.33
t60,a_checking,2024-03-05,-22.32,Target,TARGET #7624,5311,synthetic,8763.68
t53,a_credit,2024-03-06,-12.99,Spotify,SPOTIFY P123,5815,synthetic,-386.32
t55,a_credit,2024-03-06,-7.99,Netflix,NETFLIX.COM SUB,5815,synthetic,-394.31
t54,a_credit,2024-03-07,12.99,Spotify,REFUND SPOTIFY,5815,synthetic,-381.32
t72,a_checking,2024-03-07,-38.28,Uber,UBER TRIP 2099,4121,synthetic,8725.4
t66,a_checking,2024-03-09,-4.4,Starbucks,STARBUCKS 5741,5814,synthetic,8721
t49,a_checking,2024-03-10,-78.43,Electric Co,ELECTRIC BILL,4900,synthetic,8642.57
t50,a_checking,2024-03-12,-52.36,Comcast,HOME INTERNET,4816,synthetic,8590.21
t62,a_credit,2024-03-13,-45.84,Amazon,AMZN Mktp US*H2467,5942,synthetic,-427.16
t64,a_checking,2024-03-13,-132.53,GrocerMart,GROCERY STORE,5411,synthetic,8457.68
t51,a_checking,2024-03-14,-50.09,T-Mobile,MOBILE BILL,4814,synthetic,8407.59
t47,a_checking,2024-03-16,2352.73,Acme Inc.,PAYROLL,0,synthetic,10760.3
t59,a_checking,2024-03-16,-73.84,Shell,SHELL OIL 7983,5541,synthetic,10686.5
t65,a_checking,2024-03-16,-40.42,Lyft,LYFT TRIP 2246,4121,synthetic,10646.1
t58,a_credit,2024-03-17,-163.46,Amazon,AMZN Mktp US*F7048,5942,synthetic,-590.62
t63,a_credit,2024-03-18,-235.43,Amazon,AMZN Mktp US*B2766,5942,synthetic,-826.05
t73,a_checking,2024-03-22,-16.24,Lyft,LYFT TRIP 1905,4121,synthetic,10629.8
t56,a_checking,2024-03-24,-347.74,Credit Card Payment,AUTOPAY,6012,synthetic,10282.1
t69,a_checking,2024-03-25,149.29,Venmo,VENMO CASHIN,6011,synthetic,10431.4
t70,a_checking,2024-03-25,-199.11,Target,TARGET #5645,5311,synthetic,10232.3
t67,a_checking,2024-03-28,-35.92,Panera Bread,PANERA BREAD 9977,5812,synthetic,10196.3
t71,a_checking,2024-03-28,-54.66,Target,TARGET #1953,5311,synthetic,10141.7
t57,a_checking,2024-03-29,-3.27,Starbucks,STARBUCKS 2301,5814,synthetic,10138.4
t61,a_credit,2024-03-31,-63.48,Amazon,AMZN Mktp US*H3937,5942,synthetic,-889.53
t88,a_credit,2024-04-01,-199.27,Amazon,AMZN Mktp US*A5079,5942,synthetic,-1088.8
t74,a_checking,2024-04-02,2351.73,Acme Inc.,PAYROLL,0,synthetic,12490.1
t76,a_checking,2024-04-04,-1553.83,Landlord,MONTHLY RENT,6513,synthetic,10936.3
t89,a_checking,2024-04-04,-64.18,Shell,SHELL OIL 9351,5541,synthetic,10872.1
t80,a_credit,2024-04-06,-7.99,Netflix,NETFLIX.COM SUB,5815,synthetic,-1096.79
t85,a_credit,2024-04-07,-231.78,Amazon,AMZN Mktp US*B5265,5942,synthetic,-1328.57
t92,a_checking,2024-04-07,-82.35,Target,TARGET #9704,5311,synthetic,10789.8
t77,a_checking,2024-04-10,-72.36,Electric Co,ELECTRIC BILL,4900,synthetic,10717.4
t84,a_checking,2024-04-10,-139.49,GrocerMart,GROCERY STORE,5411,synthetic,10577.9
t97,a_credit,2024-04-10,-379.47,Best Buy,BESTBUY #9239,5732,synthetic,-1708.04
t82,a_checking,2024-04-11,-3.93,Starbucks,STARBUCKS 4805,5814,synthetic,10574
t95,a_checking,2024-04-11,-55.06,Whole Foods,WHOLEFDS #1045,5411,synthetic,10518.9
t78,a_checking,2024-04-12,-62.26,Comcast,HOME INTERNET,4816,synthetic,10456.7
t94,a_checking,2024-04-13,-92.66,Zelle Transfer,ZELLE TO FRIEND,6011,synthetic,10364
t79,a_checking,2024-04-14,-37.35,T-Mobile,MOBILE BILL,4814,synthetic,10326.7
t96,a_checking,2024-04-15,-48.62,GrocerMart,GROCERY STORE,5411,synthetic,10278
t75,a_checking,2024-04-16,2464.77,Acme Inc.,PAYROLL,0,synthetic,12742.8
t91,a_checking,2024-04-18,-16.56,Uber,UBER TRIP 1097,4121,synthetic,12726.3
t81,a_checking,2024-04-23,-781.81,Credit Card Payment,AUTOPAY,6012,synthetic,11944.4
t83,a_checking,2024-04-24,-5.5,Starbucks,STARBUCKS 9035,5814,synthetic,11938.9
t87,a_checking,2024-04-24,-5.38,Starbucks,STARBUCKS 5351,5814,synthetic,11933.6
t90,a_checking,2024-04-26,-4.99,Starbucks,STARBUCKS 6039,5814,synthetic,11928.6
t93,a_checking,2024-04-27,-194.06,Zelle Transfer,ZELLE TO FRIEND,6011,synthetic,11734.5
t86,a_checking,2024-04-28,-65.23,Zelle Transfer,ZELLE TO FRIEND,6011,synthetic,11669.3
t98,a_checking,2024-05-01,2403.82,Acme Inc.,PAYROLL,0,synthetic,14073.1
t116,a_checking,2024-05-02,-84.15,Whole Foods,WHOLEFDS #1045,5411,synthetic,13989
t118,a_checking,2024-05-02,-7.02,Starbucks,STARBUCKS 5842,5814,synthetic,13981.9
t122,a_checking,2024-05-02,-210.85,Target,TARGET #6656,5311,synthetic,13771.1
t100,a_checking,2024-05-03,-1449.49,Landlord,MONTHLY RENT,6513,synthetic,12321.6
t117,a_checking,2024-05-03,-144.58,Whole Foods,WHOLEFDS #1045,5411,synthetic,12177
t104,a_credit,2024-05-05,-12.99,Spotify,SPOTIFY P123,5815,synthetic,-1721.03
t105,a_credit,2024-05-06,-7.99,Netflix,NETFLIX.COM SUB,5815,synthetic,-1729.02
t107,a_credit,2024-05-06,-26.4,Amazon,AMZN Mktp US*C3733,5942,synthetic,-1755.42
t115,a_credit,2024-05-06,-114.33,Best Buy,BESTBUY #2831,5732,synthetic,-1869.75
t119,a_credit,2024-05-06,-230.8,Amazon,AMZN Mktp US*C4086,5942,synthetic,-2100.55
t113,a_checking,2024-05-07,-75.78,Shell,SHELL OIL 4295,5541,synthetic,12101.2
t114,a_checking,2024-05-07,-170.53,Target,TARGET #8447,5311,synthetic,11930.7
t110,a_checking,2024-05-08,-5.31,Starbucks,STARBUCKS 1662,5814,synthetic,11925.4
t121,a_checking,2024-05-08,-61.06,Chevron,CHEVRON OIL 5976,5541,synthetic,11864.3
t101,a_checking,2024-05-10,-72.3,Electric Co,,4900,synthetic,11792
t111,a_checking,2024-05-11,-96.14,GrocerMart,GROCERY STORE,5411,synthetic,11695.9
t102,a_checking,2024-05-12,-67.15,Comcast,HOME INTERNET,4816,synthetic,11628.7
t108,a_credit,2024-05-13,-126.64,Amazon,,5942,synthetic,-2227.19
t99,a_checking,2024-05-13,2366.06,Acme Inc.,PAYROLL,0,synthetic,13994.8
