id,user_id,account_id,date,amount,merchant,description,category,is_recurring,mcc,source
t1,u_user3,a_checking,2024-01-01,2484.53,Acme Inc.,PAYROLL,Income,true,0,synthetic
t3,u_user3,a_checking,2024-01-02,-1432.82,Landlord,MONTHLY RENT,housing,true,6513,synthetic
t25,u_user3,a_checking,2024-01-05,-5.93,Starbucks,STARBUCKS 1783,coffee,false,5814,synthetic
t7,u_user3,a_credit,2024-01-05,-12.86,Spotify,SPOTIFY P123,subscription,true,5815,synthetic
t12,u_user3,a_checking,2024-01-06,-115.66,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t8,u_user3,a_credit,2024-01-06,-8.32,Netflix,NETFLIX.COM SUB,subscription,true,5815,synthetic
t18,u_user3,a_checking,2024-01-07,-24.05,Chipotle,CHIPOTLE 2308,restaurants,false,5812,synthetic
t21,u_user3,a_checking,2024-01-07,-18.92,Chipotle,CHIPOTLE 3138,restaurants,false,5812,synthetic
t24,u_user3,a_checking,2024-01-07,-3.36,Starbucks,STARBUCKS 9837,coffee,false,5814,synthetic
t9,u_user3,a_credit,2024-01-07,-3.06,Apple,APPLE.COM/BILL,subscription,true,5734,synthetic
t11,u_user3,a_checking,2024-01-09,-66.63,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t23,u_user3,a_checking,2024-01-09,-4.69,Starbucks,STARBUCKS 1104,coffee,false,5814,synthetic
t4,u_user3,a_checking,2024-01-10,-80.35,Electric Co,ELECTRIC BILL,utilities,true,4900,synthetic
t14,u_user3,a_checking,2024-01-12,-34.82,Chevron,CHEVRON OIL 4475,gas,false,5541,synthetic
t5,u_user3,a_checking,2024-01-12,-61.46,Comcast,HOME INTERNET,internet,true,4816,synthetic
t16,u_user3,a_checking,2024-01-13,-58.08,Chevron,CHEVRON OIL 7581,gas,false,5541,synthetic
t15,u_user3,a_checking,2024-01-14,-72.55,Chevron,CHEVRON OIL 9215,gas,false,5541,synthetic
t19,u_user3,a_checking,2024-01-14,-34.52,Panera Bread,PANERA BREAD 7697,restaurants,false,5812,synthetic
t6,u_user3,a_checking,2024-01-14,-44.2,T-Mobile,MOBILE BILL,mobile,true,4814,synthetic
t10,u_user3,a_checking,2024-01-15,-80.75,Whole Foods,WHOLEFDS #1045,groceries,false,5411,synthetic
t2,u_user3,a_checking,2024-01-15,2512.33,Acme Inc.,PAYROLL,Income,true,0,synthetic
t27,u_user3,a_credit,2024-01-15,-595.62,United Airlines,UA 216074,travel,false,4511,synthetic
t17,u_user3,a_checking,2024-01-17,-30.99,Shell,SHELL OIL 1946,gas,false,5541,synthetic
t26,u_user3,a_credit,2024-01-17,-120.55,Target,TARGET #3261,shopping,false,5311,synthetic
t13,u_user3,a_checking,2024-01-19,-125.03,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t20,u_user3,a_checking,2024-01-19,-32.86,Chipotle,CHIPOTLE 4324,restaurants,false,5812,synthetic
t22,u_user3,a_checking,2024-01-20,-3.88,Starbucks,STARBUCKS 6684,coffee,false,5814,synthetic
t28,u_user3,a_checking,2024-02-01,2419.47,Acme Inc.,PAYROLL,Income,true,0,synthetic
t30,u_user3,a_checking,2024-02-02,-1460.36,Landlord,MONTHLY RENT,housing,true,6513,synthetic
t51,u_user3,a_checking,2024-02-02,-3.67,Starbucks,STARBUCKS 1349,coffee,false,5814,synthetic
t43,u_user3,a_checking,2024-02-04,-80.21,Chevron,CHEVRON OIL 7035,gas,false,5541,synthetic
t34,u_user3,a_credit,2024-02-05,-12.34,Spotify,SPOTIFY P123,subscription,true,5815,synthetic
t35,u_user3,a_credit,2024-02-06,-8.3,Netflix,NETFLIX.COM SUB,subscription,true,5815,synthetic
t36,u_user3,a_credit,2024-02-07,-2.96,Apple,APPLE.COM/BILL,subscription,true,5734,synthetic
t40,u_user3,a_checking,2024-02-08,-59.84,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t53,u_user3,a_checking,2024-02-08,-6.58,Starbucks,STARBUCKS 4401,coffee,false,5814,synthetic
t39,u_user3,a_checking,2024-02-09,-98.57,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t49,u_user3,a_checking,2024-02-09,-28.33,Panera Bread,PANERA BREAD 4203,restaurants,false,5812,synthetic
t31,u_user3,a_checking,2024-02-10,-78.89,Electric Co,ELECTRIC BILL,utilities,true,4900,synthetic
t50,u_user3,a_checking,2024-02-10,-8.08,Starbucks,STARBUCKS 1801,coffee,false,5814,synthetic
t56,u_user3,a_checking,2024-02-10,-5.12,Starbucks,,coffee,false,5814,synthetic
t46,u_user3,a_checking,2024-02-11,-60.5,Shell,SHELL OIL 3956,gas,false,5541,synthetic
