id,user_id,account_id,date,amount,merchant,description,category,is_recurring,mcc,source
t1,u_user6,a_checking,2024-01-01,2598.64,Acme Inc.,PAYROLL,Income,true,0,synthetic
t23,u_user6,a_checking,2024-01-01,-18.34,Panera Bread,PANERA BREAD 5510,restaurants,false,5812,synthetic
t26,u_user6,a_checking,2024-01-02,-3.62,Starbucks,STARBUCKS 8807,coffee,false,5814,synthetic
t3,u_user6,a_checking,2024-01-02,-1517.34,Landlord,MONTHLY RENT,housing,true,6513,synthetic
t7,u_user6,a_credit,2024-01-05,-12.99,Spotify,SPOTIFY P123,subscription,true,5815,synthetic
t8,u_user6,a_credit,2024-01-06,-7.92,Netflix,NETFLIX.COM SUB,subscription,true,5815,synthetic
t9,u_user6,a_credit,2024-01-07,-2.96,Apple,APPLE.COM/BILL,subscription,true,5734,synthetic
t17,u_user6,a_checking,2024-01-08,-31.34,Chevron,CHEVRON OIL 6524,gas,false,5541,synthetic
t36,u_user6,a_credit,2024-01-08,-43.27,Amazon,AMZN Mktp US*C6690,shopping,false,5942,synthetic
t12,u_user6,a_checking,2024-01-09,-91.83,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t20,u_user6,a_checking,2024-01-09,-11.82,Local Diner,,restaurants,false,5812,synthetic
t4,u_user6,a_checking,2024-01-10,-76.73,Electric Co,ELECTRIC BILL,utilities,true,4900,synthetic
t10,u_user6,a_checking,2024-01-12,-53.65,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t5,u_user6,a_checking,2024-01-12,-61.11,Comcast,HOME INTERNET,internet,true,4816,synthetic
t21,u_user6,a_checking,2024-01-13,-22.97,Local Diner,,restaurants,false,5812,synthetic
t32,u_user6,a_checking,2024-01-13,-66.19,Lyft,,rideshare,false,4121,synthetic
t13,u_user6,a_checking,2024-01-14,-135.22,Whole Foods,WHOLEFDS #1045,groceries,false,5411,synthetic
t16,u_user6,a_checking,2024-01-14,-53.03,Shell,SHELL OIL 6775,gas,false,5541,synthetic
t6,u_user6,a_checking,2024-01-14,-45.29,T-Mobile,MOBILE BILL,mobile,true,4814,synthetic
t18,u_user6,a_checking,2024-01-15,-53.96,Chevron,CHEVRON OIL 3905,gas,false,5541,synthetic
t2,u_user6,a_checking,2024-01-15,2556.35,Acme Inc.,PAYROLL,Income,true,0,synthetic
t35,u_user6,a_credit,2024-01-16,-188.42,Target,TARGET #8798,shopping,false,5311,synthetic
t28,u_user6,a_checking,2024-01-17,-4.05,Starbucks,STARBUCKS 4970,coffee,false,5814,synthetic
t30,u_user6,a_checking,2024-01-17,-5.89,Starbucks,STARBUCKS 8379,coffee,false,5814,synthetic
t14,u_user6,a_checking,2024-01-19,-135.26,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t33,u_user6,a_checking,2024-01-21,-40.89,Lyft,LYFT TRIP 5806,rideshare,false,4121,synthetic
t25,u_user6,a_checking,2024-01-23,-32.53,Chipotle,,restaurants,false,5812,synthetic
t31,u_user6,a_checking,2024-01-23,-6.58,Starbucks,STARBUCKS 4636,coffee,false,5814,synthetic
t22,u_user6,a_checking,2024-01-24,-34.27,Panera Bread,PANERA BREAD 2368,restaurants,false,5812,synthetic
t29,u_user6,a_checking,2024-01-26,-7.04,Starbucks,STARBUCKS 9644,coffee,false,5814,synthetic
t34,u_user6,a_credit,2024-01-26,-141.23,Amazon,AMZN Mktp US*B5735,shopping,false,5942,synthetic
t15,u_user6,a_checking,2024-01-29,-90.76,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t11,u_user6,a_checking,2024-01-30,-54.72,GrocerMart,,groceries,false,5411,synthetic
t24,u_user6,a_checking,2024-01-30,-36.66,Panera Bread,PANERA BREAD 7871,restaurants,false,5812,synthetic
t19,u_user6,a_checking,2024-01-31,-37.24,Chevron,CHEVRON OIL 4624,gas,false,5541,synthetic
t27,u_user6,a_checking,2024-01-31,-7.83,Starbucks,STARBUCKS 9331,coffee,false,5814,synthetic
t37,u_user6,a_checking,2024-01-31,-79.14,Venmo,VENMO CASHOUT,transfer,false,6011,synthetic
t38,u_user6,a_checking,2024-02-01,2593.89,Acme Inc.,PAYROLL,Income,true,0,synthetic
t40,u_user6,a_checking,2024-02-02,-1520.23,Landlord,MONTHLY RENT,housing,true,6513,synthetic
t47,u_user6,a_checking,2024-02-03,-140.17,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t50,u_user6,a_checking,2024-02-03,-120.92,Whole Foods,WHOLEFDS #1045,groceries,false,5411,synthetic
t60,u_user6,a_checking,2024-02-04,-21.77,Chipotle,CHIPOTLE 8660,restaurants,false,5812,synthetic
