id,user_id,account_id,date,amount,merchant,description,category,is_recurring,mcc,source
t1,u_user1,a_checking,2024-01-01,2468.64,Acme Inc.,PAYROLL,Income,true,0,synthetic
t23,u_user1,a_checking,2024-01-01,-31.07,Chipotle,CHIPOTLE 3454,restaurants,false,5812,synthetic
t17,u_user1,a_checking,2024-01-02,-64.94,Chevron,,gas,false,5541,synthetic
t3,u_user1,a_checking,2024-01-02,-1551.6,Landlord,MONTHLY RENT,housing,true,6513,synthetic
t24,u_user1,a_checking,2024-01-03,-5.17,Starbucks,STARBUCKS 6056,coffee,false,5814,synthetic
t25,u_user1,a_checking,2024-01-05,-3.86,Starbucks,,coffee,false,5814,synthetic
t7,u_user1,a_credit,2024-01-05,-12.56,Spotify,SPOTIFY P123,subscription,true,5815,synthetic
t8,u_user1,a_credit,2024-01-06,-8.24,Netflix,NETFLIX.COM SUB,subscription,true,5815,synthetic
t13,u_user1,a_checking,2024-01-07,-136.21,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t27,u_user1,a_checking,2024-01-07,-4.42,Starbucks,STARBUCKS 8408,coffee,false,5814,synthetic
t29,u_user1,a_checking,2024-01-07,-7.13,Starbucks,STARBUCKS 4157,coffee,false,5814,synthetic
t32,u_user1,a_checking,2024-01-07,-143.69,Zelle Transfer,ZELLE TO FRIEND,transfer,false,6011,synthetic
t9,u_user1,a_credit,2024-01-07,-3.05,Apple,APPLE.COM/BILL,subscription,true,5734,synthetic
t22,u_user1,a_checking,2024-01-10,-40.07,Chipotle,CHIPOTLE 7184,restaurants,false,5812,synthetic
t4,u_user1,a_checking,2024-01-10,-83.54,Electric Co,ELECTRIC BILL,utilities,true,4900,synthetic
t33,u_user1,a_checking,2024-01-12,-239.48,Zelle Transfer,ZELLE TO FRIEND,transfer,false,6011,synthetic
t5,u_user1,a_checking,2024-01-12,-59.39,Comcast,HOME INTERNET,internet,true,4816,synthetic
t20,u_user1,a_checking,2024-01-13,-22.22,Chipotle,CHIPOTLE 9006,restaurants,false,5812,synthetic
t6,u_user1,a_checking,2024-01-14,-47.16,T-Mobile,MOBILE BILL,mobile,true,4814,synthetic
t2,u_user1,a_checking,2024-01-15,2558.0,Acme Inc.,PAYROLL,Income,true,0,synthetic
t26,u_user1,a_checking,2024-01-15,-3.46,Starbucks,STARBUCKS 6134,coffee,false,5814,synthetic
t11,u_user1,a_checking,2024-01-16,-54.88,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t12,u_user1,a_checking,2024-01-20,-50.47,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t19,u_user1,a_checking,2024-01-21,-26.95,Panera Bread,PANERA BREAD 5859,restaurants,false,5812,synthetic
t18,u_user1,a_checking,2024-01-23,-83.44,Chevron,CHEVRON OIL 2016,gas,false,5541,synthetic
t28,u_user1,a_checking,2024-01-23,-5.1,Starbucks,STARBUCKS 7374,coffee,false,5814,synthetic
t31,u_user1,a_credit,2024-01-23,-113.04,Best Buy,,electronics,false,5732,synthetic
t10,u_user1,a_checking,2024-01-25,-95.69,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t14,u_user1,a_checking,2024-01-26,-108.68,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t30,u_user1,a_credit,2024-01-28,-169.52,Best Buy,BESTBUY #4627,electronics,false,5732,synthetic
t15,u_user1,a_checking,2024-01-29,-60.13,Whole Foods,WHOLEFDS #1045,groceries,false,5411,synthetic
t16,u_user1,a_checking,2024-01-30,-42.93,Chevron,CHEVRON OIL 4843,gas,false,5541,synthetic
t21,u_user1,a_checking,2024-01-31,-33.16,Local Diner,LOCAL DINER 7736,restaurants,false,5812,synthetic
t34,u_user1,a_checking,2024-02-01,2465.91,Acme Inc.,PAYROLL,Income,true,0,synthetic
t48,u_user1,a_checking,2024-02-01,-108.17,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t36,u_user1,a_checking,2024-02-02,-1500.41,Landlord,MONTHLY RENT,housing,true,6513,synthetic
t50,u_user1,a_checking,2024-02-02,-79.18,Shell,SHELL OIL 6423,gas,false,5541,synthetic
t49,u_user1,a_checking,2024-02-03,-71.64,Shell,SHELL OIL 7287,gas,false,5541,synthetic
t53,u_user1,a_checking,2024-02-03,-26.95,Chipotle,CHIPOTLE 6592,restaurants,false,5812,synthetic
t59,u_user1,a_checking,2024-02-03,-4.13,Starbucks,STARBUCKS 8679,coffee,false,5814,synthetic
t61,u_user1,a_checking,2024-02-03,-6.56,Starbucks,STARBUCKS 1699,coffee,false,5814,synthetic
t40,u_user1,a_credit,2024-02-05,-12.46,Spotify,SPOTIFY P123,subscription,true,5815,synthetic
t41,u_user1,a_credit,2024-02-06,-8.27,Netflix,NETFLIX.COM SUB,subscription,true,5815,synthetic
t57,u_user1,a_checking,2024-02-06,-30.64,Chipotle,CHIPOTLE 6895,restaurants,false,5812,synthetic
