id,user_id,account_id,date,amount,merchant,description,category,is_recurring,mcc,source
t1,u_user10,a_checking,2024-01-01,2464.54,Acme Inc.,PAYROLL,Income,true,0,synthetic
t22,u_user10,a_checking,2024-01-02,-38.99,Chipotle,CHIPOTLE 9932,restaurants,false,5812,synthetic
t3,u_user10,a_checking,2024-01-02,-1481.52,Landlord,MONTHLY RENT,housing,true,6513,synthetic
t24,u_user10,a_checking,2024-01-03,-6.34,Starbucks,STARBUCKS 6194,coffee,false,5814,synthetic
t7,u_user10,a_credit,2024-01-05,-13.03,Spotify,SPOTIFY P123,subscription,true,5815,synthetic
t15,u_user10,a_checking,2024-01-06,-60.82,Shell,SHELL OIL 6111,gas,false,5541,synthetic
t8,u_user10,a_credit,2024-01-06,-7.82,Netflix,NETFLIX.COM SUB,subscription,true,5815,synthetic
t9,u_user10,a_credit,2024-01-07,-2.94,Apple,,subscription,true,5734,synthetic
t10,u_user10,a_checking,2024-01-08,-116.35,Whole Foods,WHOLEFDS #1045,groceries,false,5411,synthetic
t25,u_user10,a_checking,2024-01-09,-2.79,Starbucks,STARBUCKS 6225,coffee,false,5814,synthetic
t27,u_user10,a_checking,2024-01-09,-5.95,Starbucks,STARBUCKS 2204,coffee,false,5814,synthetic
t32,u_user10,a_checking,2024-01-10,-102.33,Kaiser,Kaiser Permanente,healthcare,false,8011,synthetic
t4,u_user10,a_checking,2024-01-10,-83.44,Electric Co,ELECTRIC BILL,utilities,true,4900,synthetic
t33,u_user10,a_checking,2024-01-12,-102.3,City Dental,CITY DENTAL,healthcare,false,8011,synthetic
t5,u_user10,a_checking,2024-01-12,-62.79,Comcast,HOME INTERNET,internet,true,4816,synthetic
t16,u_user10,a_checking,2024-01-14,-56.67,Shell,SHELL OIL 9684,gas,false,5541,synthetic
t17,u_user10,a_checking,2024-01-14,-21.93,Chipotle,,restaurants,false,5812,synthetic
t19,u_user10,a_checking,2024-01-14,-36.22,Local Diner,LOCAL DINER 6409,restaurants,false,5812,synthetic
t34,u_user10,a_checking,2024-01-14,-205.01,Zelle Transfer,ZELLE TO FRIEND,transfer,false,6011,synthetic
t6,u_user10,a_checking,2024-01-14,-46.09,T-Mobile,MOBILE BILL,mobile,true,4814,synthetic
t2,u_user10,a_checking,2024-01-15,2470.95,Acme Inc.,PAYROLL,Income,true,0,synthetic
t12,u_user10,a_checking,2024-01-16,-68.3,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t31,u_user10,a_credit,2024-01-16,-31.95,Target,TARGET #7346,shopping,false,5311,synthetic
t21,u_user10,a_checking,2024-01-17,-9.43,Chipotle,CHIPOTLE 5908,restaurants,false,5812,synthetic
t26,u_user10,a_checking,2024-01-19,-4.12,Starbucks,STARBUCKS 5433,coffee,false,5814,synthetic
t14,u_user10,a_checking,2024-01-20,-44.68,Chevron,CHEVRON OIL 5306,gas,false,5541,synthetic
t20,u_user10,a_checking,2024-01-20,-15.38,Panera Bread,PANERA BREAD 1029,restaurants,false,5812,synthetic
t23,u_user10,a_checking,2024-01-20,-5.7,Starbucks,STARBUCKS 2693,coffee,false,5814,synthetic
t28,u_user10,a_checking,2024-01-20,-48.97,Lyft,LYFT TRIP 8140,rideshare,false,4121,synthetic
t11,u_user10,a_checking,2024-01-21,-133.98,Whole Foods,WHOLEFDS #1045,groceries,false,5411,synthetic
t30,u_user10,a_credit,2024-01-21,-173.71,Best Buy,BESTBUY #8385,electronics,false,5732,synthetic
t13,u_user10,a_checking,2024-01-22,-56.89,Shell,SHELL OIL 2471,gas,false,5541,synthetic
t18,u_user10,a_checking,2024-01-27,-21.66,Chipotle,CHIPOTLE 6323,restaurants,false,5812,synthetic
t35,u_user10,a_checking,2024-01-30,-146.48,Zelle Transfer,ZELLE TO FRIEND,transfer,false,6011,synthetic
t29,u_user10,a_checking,2024-01-31,-18.64,Lyft,LYFT TRIP 4568,rideshare,false,4121,synthetic
t36,u_user10,a_checking,2024-02-01,2608.2,Acme Inc.,PAYROLL,Income,true,0,synthetic
t53,u_user10,a_checking,2024-02-01,-28.19,Chipotle,CHIPOTLE 7082,restaurants,false,5812,synthetic
t38,u_user10,a_checking,2024-02-02,-1431.31,Landlord,MONTHLY RENT,housing,true,6513,synthetic
t66,u_user10,a_credit,2024-02-04,-206.72,Amazon,AMZN Mktp US*F2488,shopping,false,5942,synthetic
t42,u_user10,a_credit,2024-02-05,-13.01,Spotify,SPOTIFY P123,subscription,true,5815,synthetic
t43,u_user10,a_credit,2024-02-06,-7.93,Netflix,NETFLIX.COM SUB,subscription,true,5815,synthetic
t57,u_user10,a_checking,2024-02-06,-7.46,Starbucks,STARBUCKS 3307,coffee,false,5814,synthetic
t61,u_user10,a_checking,2024-02-06,-5.49,Starbucks,STARBUCKS 9929,coffee,false,5814,synthetic
t63,u_user10,a_checking,2024-02-06,-5.41,Starbucks,,coffee,false,5814,synthetic
t44,u_user10,a_credit,2024-02-07,-2.98,Apple,APPLE.COM/BILL,subscription,true,5734,synthetic
t58,u_user10,a_checking,2024-02-07,-5.86,Starbucks,STARBUCKS 9539,coffee,false,5814,synthetic
t50,u_user10,a_checking,2024-02-08,-65.75,Shell,SHELL OIL 9092,gas,false,5541,synthetic
t56,u_user10,a_checking,2024-02-08,-10.39,Panera Bread,PANERA BREAD 4973,restaurants,false,5812,synthetic
t60,u_user10,a_checking,2024-02-08,-4.06,Starbucks,STARBUCKS 1179,coffee,false,5814,synthetic
t46,u_user10,a_checking,2024-02-09,-55.44,Whole Foods,WHOLEFDS #1045,groceries,false,5411,synthetic
t59,u_user10,a_checking,2024-02-09,-5.72,Starbucks,STARBUCKS 6919,coffee,false,5814,synthetic
t39,u_user10,a_checking,2024-02-10,-83.54,Electric Co,ELECTRIC BILL,utilities,true,4900,synthetic
t54,u_user10,a_checking,2024-02-10,-18.21,Chipotle,CHIPOTLE 4339,restaurants,false,5812,synthetic
t40,u_user10,a_checking,2024-02-12,-58.77,Comcast,HOME INTERNET,internet,true,4816,synthetic
t67,u_user10,a_credit,2024-02-12,-284.69,Target,TARGET #9299,shopping,false,5311,synthetic
t55,u_user10,a_checking,2024-02-13,-26.97,Chipotle,CHIPOTLE 3662,restaurants,false,5812,synthetic
t41,u_user10,a_checking,2024-02-14,-45.78,T-Mobile,MOBILE BILL,mobile,true,4814,synthetic
t37,u_user10,a_checking,2024-02-15,2575.55,Acme Inc.,PAYROLL,Income,true,0,synthetic
t49,u_user10,a_checking,2024-02-15,-66.47,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t64,u_user10,a_checking,2024-02-16,-58.55,Lyft,LYFT TRIP 3627,rideshare,false,4121,synthetic
t62,u_user10,a_checking,2024-02-17,-4.5,Starbucks,STARBUCKS 5183,coffee,false,5814,synthetic
t65,u_user10,a_credit,2024-02-18,-46.06,Target,TARGET #5294,shopping,false,5311,synthetic
t47,u_user10,a_checking,2024-02-23,-60.39,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t51,u_user10,a_checking,2024-02-23,-34.29,Chevron,CHEVRON OIL 7370,gas,false,5541,synthetic
t52,u_user10,a_checking,2024-02-23,-65.0,Chevron,,gas,false,5541,synthetic
t48,u_user10,a_checking,2024-02-24,-63.54,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t45,u_user10,a_checking,2024-02-26,-43.97,Whole Foods,,groceries,false,5411,synthetic
t68,u_user10,a_checking,2024-03-01,2511.66,Acme Inc.,PAYROLL,Income,true,0,synthetic
t70,u_user10,a_checking,2024-03-02,-1547.12,Landlord,MONTHLY RENT,housing,true,6513,synthetic
t79,u_user10,a_checking,2024-03-02,-120.92,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
