id,user_id,account_id,date,amount,merchant,description,category,is_recurring,mcc,source
t1,u_user2,a_checking,2024-01-01,2378.66,Acme Inc.,PAYROLL,Income,true,0,synthetic
t12,u_user2,a_checking,2024-01-02,-86.31,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t3,u_user2,a_checking,2024-01-02,-1475.63,Landlord,MONTHLY RENT,housing,true,6513,synthetic
t37,u_user2,a_checking,2024-01-04,161.8,Zelle Transfer,,transfer,false,6011,synthetic
t17,u_user2,a_checking,2024-01-05,-35.41,Chevron,CHEVRON OIL 1203,gas,false,5541,synthetic
t7,u_user2,a_credit,2024-01-05,-12.53,Spotify,SPOTIFY P123,subscription,true,5815,synthetic
t31,u_user2,a_checking,2024-01-06,-5.23,Starbucks,STARBUCKS 5383,coffee,false,5814,synthetic
t8,u_user2,a_credit,2024-01-06,-7.78,Netflix,NETFLIX.COM SUB,subscription,true,5815,synthetic
t9,u_user2,a_credit,2024-01-07,-3.02,Apple,APPLE.COM/BILL,subscription,true,5734,synthetic
t10,u_user2,a_checking,2024-01-08,-63.86,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t33,u_user2,a_credit,2024-01-10,-203.8,Target,TARGET #7982,shopping,false,5311,synthetic
t4,u_user2,a_checking,2024-01-10,-80.87,Electric Co,ELECTRIC BILL,utilities,true,4900,synthetic
t24,u_user2,a_checking,2024-01-11,-15.31,Chipotle,CHIPOTLE 7644,restaurants,false,5812,synthetic
t28,u_user2,a_checking,2024-01-11,-4.11,Starbucks,STARBUCKS 8832,coffee,false,5814,synthetic
t5,u_user2,a_checking,2024-01-12,-61.45,Comcast,HOME INTERNET,internet,true,4816,synthetic
t15,u_user2,a_checking,2024-01-14,-96.77,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t19,u_user2,a_checking,2024-01-14,-49.82,Chevron,CHEVRON OIL 4759,gas,false,5541,synthetic
t29,u_user2,a_checking,2024-01-14,-5.93,Starbucks,STARBUCKS 7838,coffee,false,5814,synthetic
t6,u_user2,a_checking,2024-01-14,-45.3,T-Mobile,MOBILE BILL,mobile,true,4814,synthetic
t16,u_user2,a_checking,2024-01-15,-63.79,Chevron,,gas,false,5541,synthetic
t2,u_user2,a_checking,2024-01-15,2553.31,Acme Inc.,PAYROLL,Income,true,0,synthetic
t35,u_user2,a_checking,2024-01-15,-199.1,Walgreens Clinic,WALGREENS CLINIC,healthcare,false,8011,synthetic
t26,u_user2,a_checking,2024-01-16,-7.01,Starbucks,STARBUCKS 5804,coffee,false,5814,synthetic
t13,u_user2,a_checking,2024-01-17,-105.54,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t25,u_user2,a_checking,2024-01-18,-14.01,Panera Bread,,restaurants,false,5812,synthetic
t30,u_user2,a_checking,2024-01-21,-5.6,Starbucks,STARBUCKS 3827,coffee,false,5814,synthetic
t18,u_user2,a_checking,2024-01-22,-79.25,Chevron,CHEVRON OIL 5500,gas,false,5541,synthetic
t21,u_user2,a_checking,2024-01-22,-14.13,Panera Bread,PANERA BREAD 6669,restaurants,false,5812,synthetic
t34,u_user2,a_credit,2024-01-22,-41.48,Target,,shopping,false,5311,synthetic
t32,u_user2,a_checking,2024-01-24,-15.59,Uber,UBER TRIP 4716,rideshare,false,4121,synthetic
t36,u_user2,a_checking,2024-01-26,-228.94,Walgreens Clinic,WALGREENS CLINIC,healthcare,false,8011,synthetic
t23,u_user2,a_checking,2024-01-29,-10.37,Chipotle,CHIPOTLE 3850,restaurants,false,5812,synthetic
t27,u_user2,a_checking,2024-01-29,-6.34,Starbucks,STARBUCKS 6660,coffee,false,5814,synthetic
t11,u_user2,a_checking,2024-01-30,-87.35,Whole Foods,,groceries,false,5411,synthetic
t14,u_user2,a_checking,2024-01-30,-101.44,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t20,u_user2,a_checking,2024-01-31,-37.16,Local Diner,LOCAL DINER 5172,restaurants,false,5812,synthetic
t22,u_user2,a_checking,2024-01-31,-37.87,Local Diner,,restaurants,false,5812,synthetic
t38,u_user2,a_checking,2024-02-01,2382.94,Acme Inc.,PAYROLL,Income,true,0,synthetic
t40,u_user2,a_checking,2024-02-02,-1442.85,Landlord,MONTHLY RENT,housing,true,6513,synthetic
t50,u_user2,a_checking,2024-02-02,-54.7,GrocerMart,,groceries,false,5411,synthetic
t62,u_user2,a_checking,2024-02-03,-4.66,Starbucks,STARBUCKS 5143,coffee,false,5814,synthetic
t66,u_user2,a_credit,2024-02-03,-279.94,Amazon,AMZN Mktp US*E7901,shopping,false,5942,synthetic
t44,u_user2,a_credit,2024-02-05,-13.27,Spotify,SPOTIFY P123,subscription,true,5815,synthetic
